Region,BlockNumber,BlockName,SiteID,SiteName,YearSample,SampleDate,SurveyQualifier,ZeroTideTime,SurveyStartTime,PitCount,Comments
KEP,5,KEFJ,KEP_B05_SI_04,Nuka Passage,2007,2007-06-12,Site Sampled,.,.,.,
KEP,5,KEFJ,KEP_B05_SI_03,Nuka Bay,2007,2007-06-14,Site Sampled,.,.,.,
KEP,5,KEFJ,KEP_B05_SI_05,Harris Bay,2007,2007-06-16,Site Sampled,.,.,.,tx ends near a cobble/boulder field with many otter pits and spraint (primarily mussel)
KEP,5,KEFJ,KEP_B05_SI_02,McCarty Fjord,2007,2007-06-16,Site Sampled,.,.,.,
KEP,5,KEFJ,KEP_B05_SI_01,Aialik Bay,2007,2007-06-18,Site Sampled,.,.,.,
AKP,10,KATM,AKP_B10_SI_05,Takli Island,2007,2007-06-28,Site Sampled,.,.,.,"All mussels taken from all plots where present, sizes<15 mm not included due to sieve size"
AKP,10,KATM,AKP_B10_SI_04,Amalik Bay,2007,2007-06-29,Site Sampled,.,.,.,
AKP,10,KATM,AKP_B10_SI_03,Kinak Bay,2007,2007-07-01,Site Sampled,.,.,.,"Almost no clams, should proabably lower tx to the 0 tide line; All mussels taken from all plots where present. Almost no clams at +.5, should change to 0 tidal elevation in future"
AKP,10,KATM,AKP_B10_SI_02,Kaflia Bay,2007,2007-07-02,Site Sampled,.,.,.,
AKP,10,KATM,AKP_B10_SI_01,Kukak Bay,2007,2007-07-03,Site Sampled,.,.,.,All mussels taken from all plots where present
AKP,10,KATM,AKP_B10_SS_01,Ninagiak Island,2007,2007-07-04,Site Sampled,.,.,.,"Bedrock consistently though site - not able to dig deeper than 9in., but as shallow as 2in"
PWS,8,WPWS,PWS_B08_SS_05,Northwest Bay,2007,2007-07-11,Site Sampled,.,.,.,"Oiling in several plots. reasonably sure mtr were sampled at all quads when present. Quad 1-4 primary substrate gravel, secondary cobble/boulder. Quads 5-12 primary substrate cobble/boulder, secondary gravel."
PWS,8,WPWS,PWS_B08_SS_04,Disk Island,2007,2007-07-12,Site Sampled,.,.,.,"primary substrate gravel, secondary sand. Woody debris in many plots. numbers of modiolus in raw data too low for size freq and no data on which quads were sampled for mussels. So the few that were in the raw size table were deleted."
PWS,8,WPWS,PWS_B08_SI_01,Hogan Bay,2007,2007-07-13,Site Sampled,.,.,.,"primary substrate gravel, secondary sand"
PWS,8,WPWS,PWS_B08_SI_02,Iktua Bay,2007,2007-07-14,Site Sampled,.,.,.,"primary substrate cobble, secondary gravel. numbers of modiolus in quads marked as not sampled for mussels in raw data too low for size freq. So the few that were in the raw size table were deleted."
PWS,8,WPWS,PWS_B08_SI_03,Whale Bay,2007,2007-07-15,Site Sampled,.,.,.,"primary substrate cobble, secondary gravel"
PWS,8,WPWS,PWS_B08_SI_04,Johnson Bay,2007,2007-07-16,Site Sampled,.,.,.,"primary substrate cobble, secondary gravel."
PWS,8,WPWS,PWS_B08_SI_05,Herring Bay,2007,2007-07-17,Site Sampled,.,.,.,
PWS,8,WPWS,PWS_B08_SS_02,Herring Bay- Southwest,2007,2007-07-17,Site Sampled,.,.,.,Lingering oil site; cobble with surf; No clams or mussels found so crew moved to herring si_05 on same day
