Region,Block Name,Site ID,Site Name,Year,Method,Percent Cover,Notes,,,
AKP,KATM,AKP_B10_EI_01,Kukak,2008,Camera,70%,,,,
AKP,KATM,AKP_B10_EI_02,Kaflia,2008,.,.,Not sampled due to poor weather,,,
AKP,KATM,AKP_B10_EI_03,Kinak,2008,Camera,20%,,,,
AKP,KATM,AKP_B10_EI_04,Amalik,2008,Camera,27%,,,,
AKP,KATM,AKP_B10_EI_05,Takli,2008,Camera,49%,,,,
KEP,KEFJ,KEP_B05_EI_01,Aialik,2008,Camera,18%,,,,
KEP,KEFJ,KEP_B05_EI_02,McCarty,2008,Camera,32%,,,,
KEP,KEFJ,KEP_B05_EI_03,Nuka Bay,2008,Camera,61%,,,,
KEP,KEFJ,KEP_B05_EI_04,Nuka Pass,2008,Camera,62%,,,,
KEP,KEFJ,KEP_B05_EI_05,Harris,2008,Camera,67%,,,,
AKP,KATM,AKP_B10_EI_01,Kukak,2009,Camera,53%,,,,
AKP,KATM,AKP_B10_EI_02,Kaflia,2009,Camera,26%,,,,
AKP,KATM,AKP_B10_EI_03,Kinak,2009,Camera,19%,,,,
AKP,KATM,AKP_B10_EI_04,Amalik,2009,Camera,38%,,,,
AKP,KATM,AKP_B10_EI_05,Takli,2009,Camera,50%,,,,
KEP,KEFJ,KEP_B05_EI_01,Aialik,2009,Camera,17%,,,,
KEP,KEFJ,KEP_B05_EI_02,McCarty,2009,Camera,24%,,,,
KEP,KEFJ,KEP_B05_EI_03,Nuka Bay,2009,Camera,60%,,,,
KEP,KEFJ,KEP_B05_EI_04,Nuka Pass,2009,Camera,49%,,,,
KEP,KEFJ,KEP_B05_EI_05,Harris,2009,Camera,58%,,,,
AKP,KATM,AKP_B10_EI_01,Kukak,2010,Sonar,56%,,,,
AKP,KATM,AKP_B10_EI_02,Kaflia,2010,Sonar,50%,,,,
AKP,KATM,AKP_B10_EI_03,Kinak,2010,.,.,Not sampled due to poor weather,,,
AKP,KATM,AKP_B10_EI_04,Amalik,2010,Sonar,60%,,,,
AKP,KATM,AKP_B10_EI_05,Takli,2010,Sonar,38%,,,,
KEP,KEFJ,KEP_B05_EI_01,Aialik,2010,Camera,25%,,,,
KEP,KEFJ,KEP_B05_EI_02,McCarty,2010,Camera,32%,,,,
KEP,KEFJ,KEP_B05_EI_03,Nuka Bay,2010,Camera,67%,,,,
KEP,KEFJ,KEP_B05_EI_04,Nuka Pass,2010,.,.,Not sampled due to poor weather,,,
KEP,KEFJ,KEP_B05_EI_05,Harris,2010,Camera,73%,,,,
PWS,WPWS,PWS_B08_EI_01,Hogan,2010,Camera,34%,,,,
PWS,WPWS,PWS_B08_EI_02,Iktua,2010,Camera,69%,,,,
PWS,WPWS,PWS_B08_EI_03,Whale,2010,Camera,68%,,,,
PWS,WPWS,PWS_B08_EI_04,Johnson,2010,Camera,72%,,,,
PWS,WPWS,PWS_B08_EI_05,Herring,2010,Camera,42%,,,,
KEP,KEFJ,KEP_B05_EI_01,Aialik,2011,Camera,28%,,,,
KEP,KEFJ,KEP_B05_EI_02,McCarty,2011,Camera,35%,,,,
KEP,KEFJ,KEP_B05_EI_03,Nuka Bay,2011,Camera,61%,,,,
KEP,KEFJ,KEP_B05_EI_04,Nuka Pass,2011,Camera,68%,,,,
KEP,KEFJ,KEP_B05_EI_05,Harris,2011,Camera,35%,,,,
PWS,WPWS,PWS_B08_EI_01,Hogan,2011,Sonar,67%,,,,
PWS,WPWS,PWS_B08_EI_02,Iktua,2011,Sonar,76%,,,,
PWS,WPWS,PWS_B08_EI_03,Whale,2011,.,.,Not sampled due to equipment failure,,,
PWS,WPWS,PWS_B08_EI_04,Johnson,2011,Sonar,73%,,,,
PWS,WPWS,PWS_B08_EI_05,Herring,2011,Sonar,66%,,,,
AKP,KATM,AKP_B10_EI_01,Kukak,2012,Camera,27%,,,,
AKP,KATM,AKP_B10_EI_02,Kaflia,2012,Camera,45%,,,,
AKP,KATM,AKP_B10_EI_03,Kinak,2012,Camera,37%,,,,
AKP,KATM,AKP_B10_EI_04,Amalik,2012,Camera,51%,,,,
AKP,KATM,AKP_B10_EI_05,Takli,2012,Camera,29%,,,,
KEP,KEFJ,KEP_B05_EI_01,Aialik,2012,Camera,42%,,,,
KEP,KEFJ,KEP_B05_EI_02,McCarty,2012,Camera,54%,,,,
KEP,KEFJ,KEP_B05_EI_03,Nuka Bay,2012,Camera,66%,,,,
KEP,KEFJ,KEP_B05_EI_04,Nuka Pass,2012,Camera,82%,,,,
KEP,KEFJ,KEP_B05_EI_05,Harris,2012,Camera,59%,,,,
PWS,WPWS,PWS_B08_EI_01,Hogan,2012,Sonar,66%,,,,
PWS,WPWS,PWS_B08_EI_02,Iktua,2012,Sonar,74%,,,,
PWS,WPWS,PWS_B08_EI_03,Whale,2012,Sonar,71%,,,,
PWS,WPWS,PWS_B08_EI_04,Johnson,2012,Sonar,87%,,,,
PWS,WPWS,PWS_B08_EI_05,Herring,2012,Sonar,68%,,,,
PWS,EPWS,PWS_B09_EE_01,Galena,2012,Sonar,55%,,,,
PWS,EPWS,PWS_B09_EE_02,Fidalgo,2012,Sonar,52%,,,,
PWS,EPWS,PWS_B09_EE_03,Olsen,2012,Sonar,75%,,,,
PWS,EPWS,PWS_B09_EE_04,Simpson,2012,Sonar,45%,,,,
PWS,EPWS,PWS_B09_EE_05,Observation,2012,Sonar,49%,,,,
AKP,KATM,AKP_B10_EI_01,Kukak,2013,Sonar,54%,,,,
AKP,KATM,AKP_B10_EI_02,Kaflia,2013,Sonar,31%,,,,
AKP,KATM,AKP_B10_EI_03,Kinak,2013,Sonar,18%,,,,
AKP,KATM,AKP_B10_EI_04,Amalik,2013,Sonar,54%,,,,
AKP,KATM,AKP_B10_EI_05,Takli,2013,Sonar,33%,,,,
KEP,KEFJ,KEP_B05_EI_01,Aialik,2013,Sonar,51%,,,,
KEP,KEFJ,KEP_B05_EI_02,McCarty,2013,Sonar,42%,,,,
