Year,Date,Region,Site,Latitude,Longitude,Quadrat (m2),Replicate,ZosteraShoot
2012,5/4/2012,KachemakBay,JakolofBay,59.449,-151.499,0.25,1,64
2012,5/4/2012,KachemakBay,JakolofBay,59.449,-151.499,0.25,2,35
2012,5/4/2012,KachemakBay,JakolofBay,59.449,-151.499,0.25,3,51
2012,5/4/2012,KachemakBay,JakolofBay,59.449,-151.499,0.25,4,89
2012,5/4/2012,KachemakBay,JakolofBay,59.449,-151.499,0.25,5,17
2012,5/4/2012,KachemakBay,JakolofBay,59.449,-151.499,0.25,6,31
2012,5/4/2012,KachemakBay,JakolofBay,59.449,-151.499,0.25,7,27
2012,5/4/2012,KachemakBay,JakolofBay,59.449,-151.499,0.25,8,53
2012,5/4/2012,KachemakBay,JakolofBay,59.449,-151.499,0.25,9,12
2012,5/4/2012,KachemakBay,JakolofBay,59.449,-151.499,0.25,10,10
2012,5/5/2012,KachemakBay,Herring Island,59.46451667,-151.709,0.25,1,224
2012,5/5/2012,KachemakBay,Herring Island,59.46451667,-151.709,0.25,2,157
2012,5/5/2012,KachemakBay,Herring Island,59.46451667,-151.709,0.25,3,54
2012,5/5/2012,KachemakBay,Herring Island,59.46451667,-151.709,0.25,4,178
2012,5/5/2012,KachemakBay,Herring Island,59.46451667,-151.709,0.25,5,162
2012,5/5/2012,KachemakBay,Herring Island,59.46451667,-151.709,0.25,6,62
2012,5/5/2012,KachemakBay,Herring Island,59.46451667,-151.709,0.25,7,79
2012,5/5/2012,KachemakBay,Herring Island,59.46451667,-151.709,0.25,8,89
2012,5/5/2012,KachemakBay,Herring Island,59.46451667,-151.709,0.25,9,68
2012,5/5/2012,KachemakBay,Herring Island,59.46451667,-151.709,0.25,10,139
2012,5/5/2012,KachemakBay,Peterson Bay,59.58208333,-151.264,0.25,1,42
2012,5/5/2012,KachemakBay,Peterson Bay,59.58208333,-151.264,0.25,2,84
2012,5/5/2012,KachemakBay,Peterson Bay,59.58208333,-151.264,0.25,3,68
2012,5/5/2012,KachemakBay,Peterson Bay,59.58208333,-151.264,0.25,4,21
2012,5/5/2012,KachemakBay,Peterson Bay,59.58208333,-151.264,0.25,5,31
2012,5/5/2012,KachemakBay,Peterson Bay,59.58208333,-151.264,0.25,6,34
2012,5/5/2012,KachemakBay,Peterson Bay,59.58208333,-151.264,0.25,7,43
2012,5/5/2012,KachemakBay,Peterson Bay,59.58208333,-151.264,0.25,8,46
2012,5/5/2012,KachemakBay,Peterson Bay,59.58208333,-151.264,0.25,9,25
2012,5/5/2012,KachemakBay,Peterson Bay,59.58208333,-151.264,0.25,10,38
2012,5/5/2012,KachemakBay,Homer Spit,59.64853333,-151.4365,0.25,1,68
2012,5/9/2012,KachemakBay,Homer Spit,59.64853333,-151.4365,0.25,2,72
