species
Anthopleura artemisia
Urticina crassicornis
Lottia
Leptasterias hexactis
Mopalia
Tectura
Tonicella
Evasterias troschelii
Porifera
Katharina tunicata
Nucella
Epiactis prolifera
Calliostoma ligatum
Fusitriton oregonensis
Henricia leviuscula
Actiniaria
Acmaea mitra
Cucumaria miniata
Orthasterias koehleri
Solaster stimpsoni
Diodora aspera
Strongylocentrotus droebachiensis
Idotea
Asterias amurensis
Pisaster ochraceus
Cryptochiton stelleri
Triopha catalinae
Solaster
Metridium senile
Pododesmus macrochisma
Mopalia ciliata
Diodora
Boreotrophon multicostatus
Diaulula
Glebocarcinus oregonensis
Lirabuccinum dirum
Paguridae
